name	path	emotion
h14 (2).wav	data\aesdd\happiness\h14 (2).wav	happiness
s16 (4).wav	data\aesdd\sadness\s16 (4).wav	sadness
d04 (2).wav	data\aesdd\disgust\d04 (2).wav	disgust
d20 (4).wav	data\aesdd\disgust\d20 (4).wav	disgust
f15 (5).wav	data\aesdd\fear\f15 (5).wav	fear
s05 (4).wav	data\aesdd\sadness\s05 (4).wav	sadness
a17 (3).wav	data\aesdd\anger\a17 (3).wav	anger
a01 (3).wav	data\aesdd\anger\a01 (3).wav	anger
f19 (4).wav	data\aesdd\fear\f19 (4).wav	fear
f17 (6).wav	data\aesdd\fear\f17 (6).wav	fear
d01 (3).wav	data\aesdd\disgust\d01 (3).wav	disgust
f17 (5).wav	data\aesdd\fear\f17 (5).wav	fear
a02 (6).wav	data\aesdd\anger\a02 (6).wav	anger
a03 (5).wav	data\aesdd\anger\a03 (5).wav	anger
d17 (3).wav	data\aesdd\disgust\d17 (3).wav	disgust
f09 (5).wav	data\aesdd\fear\f09 (5).wav	fear
f09 (2).wav	data\aesdd\fear\f09 (2).wav	fear
d16 (6).wav	data\aesdd\disgust\d16 (6).wav	disgust
d12 (4).wav	data\aesdd\disgust\d12 (4).wav	disgust
s13 (5).wav	data\aesdd\sadness\s13 (5).wav	sadness
h20 (4).wav	data\aesdd\happiness\h20 (4).wav	happiness
f14 (5).wav	data\aesdd\fear\f14 (5).wav	fear
f08 (4).wav	data\aesdd\fear\f08 (4).wav	fear
s14 (1).wav	data\aesdd\sadness\s14 (1).wav	sadness
s12 (3).wav	data\aesdd\sadness\s12 (3).wav	sadness
h09 (5).wav	data\aesdd\happiness\h09 (5).wav	happiness
f03 (2).wav	data\aesdd\fear\f03 (2).wav	fear
s15 (5).wav	data\aesdd\sadness\s15 (5).wav	sadness
f07 (3).wav	data\aesdd\fear\f07 (3).wav	fear
f01 (3).wav	data\aesdd\fear\f01 (3).wav	fear
a12 (6).wav	data\aesdd\anger\a12 (6).wav	anger
h20 (5).wav	data\aesdd\happiness\h20 (5).wav	happiness
f06 (4).wav	data\aesdd\fear\f06 (4).wav	fear
d06 (4).wav	data\aesdd\disgust\d06 (4).wav	disgust
a05 (2).wav	data\aesdd\anger\a05 (2).wav	anger
s02 (6).wav	data\aesdd\sadness\s02 (6).wav	sadness
d15 (4).wav	data\aesdd\disgust\d15 (4).wav	disgust
d09 (6).wav	data\aesdd\disgust\d09 (6).wav	disgust
s12 (2).wav	data\aesdd\sadness\s12 (2).wav	sadness
s04 (5).wav	data\aesdd\sadness\s04 (5).wav	sadness
s01 (2).wav	data\aesdd\sadness\s01 (2).wav	sadness
a16 (5).wav	data\aesdd\anger\a16 (5).wav	anger
s01 (4).wav	data\aesdd\sadness\s01 (4).wav	sadness
s05 (5).wav	data\aesdd\sadness\s05 (5).wav	sadness
d01 (2).wav	data\aesdd\disgust\d01 (2).wav	disgust
a04 (3).wav	data\aesdd\anger\a04 (3).wav	anger
a13 (4).wav	data\aesdd\anger\a13 (4).wav	anger
d05 (5).wav	data\aesdd\disgust\d05 (5).wav	disgust
h19 (4).wav	data\aesdd\happiness\h19 (4).wav	happiness
f02 (3).wav	data\aesdd\fear\f02 (3).wav	fear
d15 (1).wav	data\aesdd\disgust\d15 (1).wav	disgust
f08 (5).wav	data\aesdd\fear\f08 (5).wav	fear
s01 (5)a.wav	data\aesdd\sadness\s01 (5)a.wav	sadness
f10 (2).wav	data\aesdd\fear\f10 (2).wav	fear
d12 (3).wav	data\aesdd\disgust\d12 (3).wav	disgust
d20 (3).wav	data\aesdd\disgust\d20 (3).wav	disgust
a17 (5).wav	data\aesdd\anger\a17 (5).wav	anger
s04 (6).wav	data\aesdd\sadness\s04 (6).wav	sadness
h12 (4).wav	data\aesdd\happiness\h12 (4).wav	happiness
a14 (4).wav	data\aesdd\anger\a14 (4).wav	anger
s09 (4).wav	data\aesdd\sadness\s09 (4).wav	sadness
h16 (5).wav	data\aesdd\happiness\h16 (5).wav	happiness
a15 (2).wav	data\aesdd\anger\a15 (2).wav	anger
f16 (1).wav	data\aesdd\fear\f16 (1).wav	fear
d07 (6).wav	data\aesdd\disgust\d07 (6).wav	disgust
a07 (6).wav	data\aesdd\anger\a07 (6).wav	anger
f03 (3).wav	data\aesdd\fear\f03 (3).wav	fear
d17 (5).wav	data\aesdd\disgust\d17 (5).wav	disgust
d09 (5).wav	data\aesdd\disgust\d09 (5).wav	disgust
a13 (6).wav	data\aesdd\anger\a13 (6).wav	anger
s09 (2).wav	data\aesdd\sadness\s09 (2).wav	sadness
f15 (3).wav	data\aesdd\fear\f15 (3).wav	fear
d07 (1).wav	data\aesdd\disgust\d07 (1).wav	disgust
s07 (4).wav	data\aesdd\sadness\s07 (4).wav	sadness
a18 (2).wav	data\aesdd\anger\a18 (2).wav	anger
f10 (4).wav	data\aesdd\fear\f10 (4).wav	fear
s11 (4).wav	data\aesdd\sadness\s11 (4).wav	sadness
s09 (1).wav	data\aesdd\sadness\s09 (1).wav	sadness
a15 (5).wav	data\aesdd\anger\a15 (5).wav	anger
h06 (1).wav	data\aesdd\happiness\h06 (1).wav	happiness
h17 (2).wav	data\aesdd\happiness\h17 (2).wav	happiness
f04 (3).wav	data\aesdd\fear\f04 (3).wav	fear
s01 (6).wav	data\aesdd\sadness\s01 (6).wav	sadness
a12 (5).wav	data\aesdd\anger\a12 (5).wav	anger
f01 (1).wav	data\aesdd\fear\f01 (1).wav	fear
a06 (2).wav	data\aesdd\anger\a06 (2).wav	anger
d18 (4).wav	data\aesdd\disgust\d18 (4).wav	disgust
h10 (2).wav	data\aesdd\happiness\h10 (2).wav	happiness
d01 (6).wav	data\aesdd\disgust\d01 (6).wav	disgust
h15 (4).wav	data\aesdd\happiness\h15 (4).wav	happiness
a13 (5).wav	data\aesdd\anger\a13 (5).wav	anger
d04 (1).wav	data\aesdd\disgust\d04 (1).wav	disgust
h17 (1).wav	data\aesdd\happiness\h17 (1).wav	happiness
h13 (4).wav	data\aesdd\happiness\h13 (4).wav	happiness
d10 (3).wav	data\aesdd\disgust\d10 (3).wav	disgust
s01 (3).wav	data\aesdd\sadness\s01 (3).wav	sadness
d04 (5)b.wav	data\aesdd\disgust\d04 (5)b.wav	disgust
h13 (2).wav	data\aesdd\happiness\h13 (2).wav	happiness
s04 (5)b.wav	data\aesdd\sadness\s04 (5)b.wav	sadness
h06 (5).wav	data\aesdd\happiness\h06 (5).wav	happiness
h17 (4).wav	data\aesdd\happiness\h17 (4).wav	happiness
d04 (4).wav	data\aesdd\disgust\d04 (4).wav	disgust
a15 (1).wav	data\aesdd\anger\a15 (1).wav	anger
f14 (3).wav	data\aesdd\fear\f14 (3).wav	fear
h09 (2).wav	data\aesdd\happiness\h09 (2).wav	happiness
f14 (1).wav	data\aesdd\fear\f14 (1).wav	fear
f18 (5).wav	data\aesdd\fear\f18 (5).wav	fear
d17 (2).wav	data\aesdd\disgust\d17 (2).wav	disgust
h18 (1).wav	data\aesdd\happiness\h18 (1).wav	happiness
f01 (4).wav	data\aesdd\fear\f01 (4).wav	fear
h16 (4).wav	data\aesdd\happiness\h16 (4).wav	happiness
s11 (6).wav	data\aesdd\sadness\s11 (6).wav	sadness
h05 (4).wav	data\aesdd\happiness\h05 (4).wav	happiness
h17 (3).wav	data\aesdd\happiness\h17 (3).wav	happiness
s08 (4).wav	data\aesdd\sadness\s08 (4).wav	sadness
d13 (3).wav	data\aesdd\disgust\d13 (3).wav	disgust
s20 (2).wav	data\aesdd\sadness\s20 (2).wav	sadness
h05 (6).wav	data\aesdd\happiness\h05 (6).wav	happiness
a02 (3).wav	data\aesdd\anger\a02 (3).wav	anger
s16 (5).wav	data\aesdd\sadness\s16 (5).wav	sadness
d20 (5).wav	data\aesdd\disgust\d20 (5).wav	disgust
f13 (3).wav	data\aesdd\fear\f13 (3).wav	fear
a10 (6).wav	data\aesdd\anger\a10 (6).wav	anger
h16 (3).wav	data\aesdd\happiness\h16 (3).wav	happiness
f07 (1).wav	data\aesdd\fear\f07 (1).wav	fear
f19 (6).wav	data\aesdd\fear\f19 (6).wav	fear
f16 (2).wav	data\aesdd\fear\f16 (2).wav	fear
f05 (4).wav	data\aesdd\fear\f05 (4).wav	fear
h14 (4).wav	data\aesdd\happiness\h14 (4).wav	happiness
d01 (5).wav	data\aesdd\disgust\d01 (5).wav	disgust
s18 (1).wav	data\aesdd\sadness\s18 (1).wav	sadness
a18 (6).wav	data\aesdd\anger\a18 (6).wav	anger
s05 (1).wav	data\aesdd\sadness\s05 (1).wav	sadness
s02 (2).wav	data\aesdd\sadness\s02 (2).wav	sadness
f12 (6).wav	data\aesdd\fear\f12 (6).wav	fear
d03 (4).wav	data\aesdd\disgust\d03 (4).wav	disgust
d20 (6).wav	data\aesdd\disgust\d20 (6).wav	disgust
d01 (5)b.wav	data\aesdd\disgust\d01 (5)b.wav	disgust
a17 (4).wav	data\aesdd\anger\a17 (4).wav	anger
h04 (4).wav	data\aesdd\happiness\h04 (4).wav	happiness
h10 (5).wav	data\aesdd\happiness\h10 (5).wav	happiness
d13 (6).wav	data\aesdd\disgust\d13 (6).wav	disgust
f05 (6).wav	data\aesdd\fear\f05 (6).wav	fear
a14 (3).wav	data\aesdd\anger\a14 (3).wav	anger
f11 (6).wav	data\aesdd\fear\f11 (6).wav	fear
s10 (6).wav	data\aesdd\sadness\s10 (6).wav	sadness
d19 (4).wav	data\aesdd\disgust\d19 (4).wav	disgust
d10 (6).wav	data\aesdd\disgust\d10 (6).wav	disgust
d05 (4).wav	data\aesdd\disgust\d05 (4).wav	disgust
d19 (3).wav	data\aesdd\disgust\d19 (3).wav	disgust
d16 (1).wav	data\aesdd\disgust\d16 (1).wav	disgust
f11 (4).wav	data\aesdd\fear\f11 (4).wav	fear
d15 (5).wav	data\aesdd\disgust\d15 (5).wav	disgust
f05 (3).wav	data\aesdd\fear\f05 (3).wav	fear
f20 (3).wav	data\aesdd\fear\f20 (3).wav	fear
d01 (1).wav	data\aesdd\disgust\d01 (1).wav	disgust
h19 (2).wav	data\aesdd\happiness\h19 (2).wav	happiness
d06 (2).wav	data\aesdd\disgust\d06 (2).wav	disgust
f10 (5).wav	data\aesdd\fear\f10 (5).wav	fear
f06 (3).wav	data\aesdd\fear\f06 (3).wav	fear
s06 (3).wav	data\aesdd\sadness\s06 (3).wav	sadness
f17 (2).wav	data\aesdd\fear\f17 (2).wav	fear
f10 (01).wav	data\aesdd\fear\f10 (01).wav	fear
d04 (3).wav	data\aesdd\disgust\d04 (3).wav	disgust
s13 (6).wav	data\aesdd\sadness\s13 (6).wav	sadness
s09 (6).wav	data\aesdd\sadness\s09 (6).wav	sadness
f07 (6).wav	data\aesdd\fear\f07 (6).wav	fear
f06 (1).wav	data\aesdd\fear\f06 (1).wav	fear
h08 (5).wav	data\aesdd\happiness\h08 (5).wav	happiness
s03 (2).wav	data\aesdd\sadness\s03 (2).wav	sadness
s02 (5)b.wav	data\aesdd\sadness\s02 (5)b.wav	sadness
s15 (2).wav	data\aesdd\sadness\s15 (2).wav	sadness
f12 (2).wav	data\aesdd\fear\f12 (2).wav	fear
h11 (2).wav	data\aesdd\happiness\h11 (2).wav	happiness
s19 (1).wav	data\aesdd\sadness\s19 (1).wav	sadness
h09 (1).wav	data\aesdd\happiness\h09 (1).wav	happiness
h15 (1).wav	data\aesdd\happiness\h15 (1).wav	happiness
d07 (2).wav	data\aesdd\disgust\d07 (2).wav	disgust
s16 (2).wav	data\aesdd\sadness\s16 (2).wav	sadness
d02 (2).wav	data\aesdd\disgust\d02 (2).wav	disgust
s20 (5).wav	data\aesdd\sadness\s20 (5).wav	sadness
s18 (4).wav	data\aesdd\sadness\s18 (4).wav	sadness
d08 (5).wav	data\aesdd\disgust\d08 (5).wav	disgust
h05 (3).wav	data\aesdd\happiness\h05 (3).wav	happiness
d02 (4).wav	data\aesdd\disgust\d02 (4).wav	disgust
a06 (3).wav	data\aesdd\anger\a06 (3).wav	anger
a19 (2).wav	data\aesdd\anger\a19 (2).wav	anger
d18 (6).wav	data\aesdd\disgust\d18 (6).wav	disgust
a03 (4).wav	data\aesdd\anger\a03 (4).wav	anger
h02 (5).wav	data\aesdd\happiness\h02 (5).wav	happiness
h19 (1).wav	data\aesdd\happiness\h19 (1).wav	happiness
s08 (1).wav	data\aesdd\sadness\s08 (1).wav	sadness
d14 (3).wav	data\aesdd\disgust\d14 (3).wav	disgust
h19 (5).wav	data\aesdd\happiness\h19 (5).wav	happiness
f19 (1).wav	data\aesdd\fear\f19 (1).wav	fear
a17 (2).wav	data\aesdd\anger\a17 (2).wav	anger
h10 (1).wav	data\aesdd\happiness\h10 (1).wav	happiness
h04 (3).wav	data\aesdd\happiness\h04 (3).wav	happiness
f18 (2).wav	data\aesdd\fear\f18 (2).wav	fear
a07 (5).wav	data\aesdd\anger\a07 (5).wav	anger
f14 (4).wav	data\aesdd\fear\f14 (4).wav	fear
a02 (1).wav	data\aesdd\anger\a02 (1).wav	anger
s10 (2).wav	data\aesdd\sadness\s10 (2).wav	sadness
s06 (4).wav	data\aesdd\sadness\s06 (4).wav	sadness
d05 (2).wav	data\aesdd\disgust\d05 (2).wav	disgust
s01 (5)b.wav	data\aesdd\sadness\s01 (5)b.wav	sadness
d03 (5)b.wav	data\aesdd\disgust\d03 (5)b.wav	disgust
h09 (3).wav	data\aesdd\happiness\h09 (3).wav	happiness
f19 (2).wav	data\aesdd\fear\f19 (2).wav	fear
s07 (6).wav	data\aesdd\sadness\s07 (6).wav	sadness
s04 (3).wav	data\aesdd\sadness\s04 (3).wav	sadness
s14 (5).wav	data\aesdd\sadness\s14 (5).wav	sadness
f03 (6).wav	data\aesdd\fear\f03 (6).wav	fear
a10 (4).wav	data\aesdd\anger\a10 (4).wav	anger
d11 (3).wav	data\aesdd\disgust\d11 (3).wav	disgust
f13 (4).wav	data\aesdd\fear\f13 (4).wav	fear
f04 (4).wav	data\aesdd\fear\f04 (4).wav	fear
a06 (5)b.wav	data\aesdd\anger\a06 (5)b.wav	anger
a03 (1).wav	data\aesdd\anger\a03 (1).wav	anger
d10 (1).wav	data\aesdd\disgust\d10 (1).wav	disgust
h14 (1).wav	data\aesdd\happiness\h14 (1).wav	happiness
s20 (1).wav	data\aesdd\sadness\s20 (1).wav	sadness
s18 (5).wav	data\aesdd\sadness\s18 (5).wav	sadness
h03 (3).wav	data\aesdd\happiness\h03 (3).wav	happiness
a11 (3).wav	data\aesdd\anger\a11 (3).wav	anger
f05 (1).wav	data\aesdd\fear\f05 (1).wav	fear
d14 (5).wav	data\aesdd\disgust\d14 (5).wav	disgust
h03 (6).wav	data\aesdd\happiness\h03 (6).wav	happiness
a03 (3).wav	data\aesdd\anger\a03 (3).wav	anger
d17 (1).wav	data\aesdd\disgust\d17 (1).wav	disgust
d15 (3).wav	data\aesdd\disgust\d15 (3).wav	disgust
h08 (1).wav	data\aesdd\happiness\h08 (1).wav	happiness
d13 (5).wav	data\aesdd\disgust\d13 (5).wav	disgust
h10 (4).wav	data\aesdd\happiness\h10 (4).wav	happiness
d12 (1).wav	data\aesdd\disgust\d12 (1).wav	disgust
f18 (5)b.wav	data\aesdd\fear\f18 (5)b.wav	fear
h12 (2).wav	data\aesdd\happiness\h12 (2).wav	happiness
d12 (6).wav	data\aesdd\disgust\d12 (6).wav	disgust
a06 (1).wav	data\aesdd\anger\a06 (1).wav	anger
s10 (1).wav	data\aesdd\sadness\s10 (1).wav	sadness
f09 (4).wav	data\aesdd\fear\f09 (4).wav	fear
h06 (4).wav	data\aesdd\happiness\h06 (4).wav	happiness
d06 (3).wav	data\aesdd\disgust\d06 (3).wav	disgust
f07 (4).wav	data\aesdd\fear\f07 (4).wav	fear
s07 (5).wav	data\aesdd\sadness\s07 (5).wav	sadness
a07 (3).wav	data\aesdd\anger\a07 (3).wav	anger
s11 (2).wav	data\aesdd\sadness\s11 (2).wav	sadness
f10 (6).wav	data\aesdd\fear\f10 (6).wav	fear
d14 (2).wav	data\aesdd\disgust\d14 (2).wav	disgust
a20 (4).wav	data\aesdd\anger\a20 (4).wav	anger
a11 (2).wav	data\aesdd\anger\a11 (2).wav	anger
d07 (5).wav	data\aesdd\disgust\d07 (5).wav	disgust
a19 (3).wav	data\aesdd\anger\a19 (3).wav	anger
s17 (2).wav	data\aesdd\sadness\s17 (2).wav	sadness
f15 (2).wav	data\aesdd\fear\f15 (2).wav	fear
d12 (2).wav	data\aesdd\disgust\d12 (2).wav	disgust
s19 (6).wav	data\aesdd\sadness\s19 (6).wav	sadness
a18 (5).wav	data\aesdd\anger\a18 (5).wav	anger
h03 (1).wav	data\aesdd\happiness\h03 (1).wav	happiness
f07 (2).wav	data\aesdd\fear\f07 (2).wav	fear
h16 (1).wav	data\aesdd\happiness\h16 (1).wav	happiness
f11 (01).wav	data\aesdd\fear\f11 (01).wav	fear
f05 (2).wav	data\aesdd\fear\f05 (2).wav	fear
a08 (1).wav	data\aesdd\anger\a08 (1).wav	anger
f20 (4).wav	data\aesdd\fear\f20 (4).wav	fear
s12 (4).wav	data\aesdd\sadness\s12 (4).wav	sadness
f17 (3).wav	data\aesdd\fear\f17 (3).wav	fear
s13 (3).wav	data\aesdd\sadness\s13 (3).wav	sadness
s10 (5).wav	data\aesdd\sadness\s10 (5).wav	sadness
s08 (2).wav	data\aesdd\sadness\s08 (2).wav	sadness
a18 (3).wav	data\aesdd\anger\a18 (3).wav	anger
h20 (2).wav	data\aesdd\happiness\h20 (2).wav	happiness
h13 (3).wav	data\aesdd\happiness\h13 (3).wav	happiness
h03 (4).wav	data\aesdd\happiness\h03 (4).wav	happiness
f02 (6).wav	data\aesdd\fear\f02 (6).wav	fear
a01 (4).wav	data\aesdd\anger\a01 (4).wav	anger
d06 (1).wav	data\aesdd\disgust\d06 (1).wav	disgust
a15 (4).wav	data\aesdd\anger\a15 (4).wav	anger
a08 (3).wav	data\aesdd\anger\a08 (3).wav	anger
s09 (3).wav	data\aesdd\sadness\s09 (3).wav	sadness
a02 (5).wav	data\aesdd\anger\a02 (5).wav	anger
f04 (2).wav	data\aesdd\fear\f04 (2).wav	fear
f11 (2).wav	data\aesdd\fear\f11 (2).wav	fear
f12 (01).wav	data\aesdd\fear\f12 (01).wav	fear
a05 (1).wav	data\aesdd\anger\a05 (1).wav	anger
f06 (2).wav	data\aesdd\fear\f06 (2).wav	fear
s11 (1).wav	data\aesdd\sadness\s11 (1).wav	sadness
a13 (2).wav	data\aesdd\anger\a13 (2).wav	anger
s03 (1).wav	data\aesdd\sadness\s03 (1).wav	sadness
h18 (6).wav	data\aesdd\happiness\h18 (6).wav	happiness
s04 (1).wav	data\aesdd\sadness\s04 (1).wav	sadness
h02 (1).wav	data\aesdd\happiness\h02 (1).wav	happiness
a14 (2).wav	data\aesdd\anger\a14 (2).wav	anger
h10 (3).wav	data\aesdd\happiness\h10 (3).wav	happiness
a11 (6).wav	data\aesdd\anger\a11 (6).wav	anger
h07 (4).wav	data\aesdd\happiness\h07 (4).wav	happiness
f19 (5).wav	data\aesdd\fear\f19 (5).wav	fear
f04 (5).wav	data\aesdd\fear\f04 (5).wav	fear
a09 (2).wav	data\aesdd\anger\a09 (2).wav	anger
h19 (6).wav	data\aesdd\happiness\h19 (6).wav	happiness
a19 (5).wav	data\aesdd\anger\a19 (5).wav	anger
a17 (6).wav	data\aesdd\anger\a17 (6).wav	anger
s02 (3).wav	data\aesdd\sadness\s02 (3).wav	sadness
h06 (3).wav	data\aesdd\happiness\h06 (3).wav	happiness
s14 (2).wav	data\aesdd\sadness\s14 (2).wav	sadness
d05 (6).wav	data\aesdd\disgust\d05 (6).wav	disgust
a09 (4).wav	data\aesdd\anger\a09 (4).wav	anger
h13 (5).wav	data\aesdd\happiness\h13 (5).wav	happiness
f18 (3).wav	data\aesdd\fear\f18 (3).wav	fear
d19 (1).wav	data\aesdd\disgust\d19 (1).wav	disgust
f06 (5).wav	data\aesdd\fear\f06 (5).wav	fear
f08 (3).wav	data\aesdd\fear\f08 (3).wav	fear
a12 (3).wav	data\aesdd\anger\a12 (3).wav	anger
f16 (5).wav	data\aesdd\fear\f16 (5).wav	fear
f17 (1).wav	data\aesdd\fear\f17 (1).wav	fear
d03 (01).wav	data\aesdd\disgust\d03 (01).wav	disgust
a09 (1).wav	data\aesdd\anger\a09 (1).wav	anger
a18 (4).wav	data\aesdd\anger\a18 (4).wav	anger
